IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;1979;158646;193372;56576;12;1658651
14;1998;1429132;1103132;494086;26;9652695
14;2006;497311;358178;116721;19;7268265
14;2005;381176;170399;84072;12;2058441
4;2005;1628308;325831;178512;20;18922825
5;2004;168766;262329;124766;18;6819479
14;2008;2966906;1094785;407160;76;32104467
14;2009;81715;118516;56401;6;2399879
14;2003;320464;246046;98133;12;2621350
4;2008;342031;359306;151095;18;12827472
14;1998;601041;307458;118921;14;10754067
14;2005;1627687;766130;419603;56;33366131
4;2008;807608;350131;166384;21;9842214
14;2006;574715;274835;89906;16;7975497
14;2007;1024142;1491098;526569;22;14259469
4;2007;162264;482231;173903;12;7719813
14;2008;461682;319628;122577;9;2275417
14;2008;991012;669152;256271;36;12235678
4;2007;991579;572438;247181;9;12973190
14;2008;172001;190948;70260;10;1017983
4;2008;240232;300314;121008;12;3118207
4;2008;1541563;215253;64581;10;5927290
14;1999;307866;0;0;7;1326803
4;2004;101702;125323;42452;11;7879239
14;2006;2993120;644287;281248;25;25284875
4;1996;291287;331366;159335;15;5944555
14;1988;163748;176311;81394;13;6847483
14;1998;2584550;783464;298115;72;29311025
14;2006;1130752;2077038;820526;56;47792019
4;2004;489545;1127604;600193;30;23755337
14;2000;124398;165849;67772;9;1268641
14;2005;659843;1536342;769007;27;24243988
14;2009;669190;595114;238882;22;13307325
14;1992;643818;141786;55903;12;2249173
4;1999;267122;167773;72108;14;4141673
14;2003;467547;563915;313869;15;11453969
14;2003;186813;365542;160346;20;9367592
4;1996;789607;397043;178629;27;21108100
4;1983;272823;425712;202589;21;2300490
5;2005;220316;215047;160790;5;1805128
14;2005;225498;275431;116356;14;3752472
14;2010;497937;650356;274951;31;18545308
5;2005;1157110;776144;366857;22;7987231
14;2000;87823;298509;124796;6;1442878
4;2004;283804;113283;53923;10;2171973
14;2002;547669;265300;141181;18;13114418
14;2006;582835;403062;121416;26;4149837
4;1980;203966;265760;96425;10;957587
99;1986;134351;293650;139594;12;1660676
5;1997;166313;348748;101686;10;4398535
14;2002;2008567;443984;92093;45;23527822
4;2002;158671;224968;91786;13;2447415
14;1986;497805;722631;287610;25;7215529
5;1994;256032;491788;211222;10;3032797
14;2000;483508;226849;87831;19;4134107
4;1991;218957;165550;74249;12;3496386
4;2007;246576;295778;160935;13;5501248
14;2006;256803;162440;59036;13;5612030
14;1994;325752;248603;103798;13;2845773
5;2003;845990;453172;260456;20;10939285
14;2010;80838;246337;125100;9;2283438
14;2010;435473;369703;162281;17;34490726
14;2012;2528204;2003710;953426;35;22203958
14;2011;986046;695425;354990;14;3390984
14;2011;760919;414360;182399;16;3153688
14;2011;297637;397968;165199;35;14512598
14;2012;1457442;650484;343495;30;62627110
14;2012;566386;929987;334950;10;13652448
14;2010;1984923;554840;219927;16;13723748
14;2011;407615;232453;96274;25;13438022
14;2012;495700;116035;46482;7;1935592
14;2001;460103;277080;132922;20;3250908
14;2009;492481;711523;266032;10;1948650
14;2013;203708;343028;146649;15;8011364
14;2013;790626;240005;98856;16;10935551
14;2012;768559;396001;170009;21;2370695
14;2012;213741;478586;155949;28;27281596
14;2012;660757;412610;174040;28;9640873
14;2011;2662957;507711;251683;23;6698467
14;2012;4480769;1337933;442864;78;79882733
14;2013;1574999;3626918;1340506;34;48396241
14;2013;5445297;6274176;2465852;71;43082004
14;2013;3451473;2146392;927589;130;98449354
14;2002;324538;708773;223014;28;7281531
14;1972;261958;419138;210789;18;8515328
14;1986;86746;440688;174816;13;6846470
14;1995;336821;487683;200078;24;4884593
14;2006;897173;475716;151072;23;12554517
4;2009;785243;389739;115420;16;14601502
14;1996;311179;316577;108734;22;11138676
5;2001;516505;162001;51474;10;11246833
14;2010;608895;1029168;375667;26;15726941
14;2009;223882;413640;145721;14;7078617
14;1993;201231;383697;165323;15;2942890
