IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
14,2011,bajo,bajo,bajo,bajo,medias
14,2010,alto,medio,medio,medio,altas
14,2010,muy alto,alto,alto,muy alto,muy altas
14,2012,alto,alto,alto,alto,altas
14,2012,alto,alto,alto,alto,altas
14,2013,muy alto,muy alto,muy alto,muy alto,muy altas
4,2004,bajo,bajo,bajo,bajo,medias
14,1983,alto,medio,medio,medio,altas
14,1981,alto,medio,bajo,bajo,muy altas
14,1991,alto,muy alto,muy alto,muy alto,altas
14,2011,bajo,medio,medio,alto,medias
14,2003,muy alto,alto,alto,alto,muy altas
5,2001,bajo,bajo,bajo,bajo,medias
4,2006,medio,bajo,medio,medio,altas
4,2008,medio,alto,muy alto,medio,medias
4,2005,medio,medio,medio,medio,medias
14,2010,medio,bajo,bajo,medio,bajas
14,2009,medio,alto,alto,alto,medias
14,2006,medio,alto,alto,alto,medias
14,2011,medio,alto,alto,alto,altas
4,1988,medio,bajo,bajo,bajo,bajas
14,2004,muy alto,bajo,bajo,alto,altas
14,2007,alto,medio,medio,medio,altas
14,2011,medio,medio,medio,bajo,bajas
14,2011,alto,medio,alto,medio,altas
11,2006,alto,medio,medio,medio,altas
14,1990,alto,alto,alto,medio,altas
14,2012,bajo,bajo,bajo,bajo,bajas
14,1964,muy alto,muy alto,muy alto,muy alto,muy altas
5,1994,muy alto,muy alto,muy alto,muy alto,muy altas
14,1993,alto,alto,alto,alto,altas
5,1988,alto,medio,medio,medio,medias
4,1977,medio,bajo,bajo,bajo,bajas
4,1991,medio,medio,medio,medio,bajas
14,1974,muy alto,muy alto,muy alto,muy alto,altas
4,1980,muy alto,muy alto,muy alto,muy alto,muy altas
5,1987,muy alto,medio,medio,alto,altas
14,1990,muy alto,muy alto,muy alto,muy alto,muy altas
4,1993,medio,alto,alto,medio,bajas
14,1983,muy alto,muy alto,muy alto,muy alto,muy altas
14,1981,alto,alto,alto,alto,medias
5,1955,muy alto,muy alto,muy alto,muy alto,muy altas
